# Player modifiers
th_heroic_mode_player = {
	army_tradition_decay = 0.0
	navy_tradition_decay = 0.0
	global_unrest = -0.085
	discipline = 0.002
	ship_durability = 0.002
	global_trade_power = 0.005
}
heroic_th_agressive_ai_buff_against_dev_180 = {
	global_tax_modifier = 0.018
	interest = -0.036
	war_exhaustion = -0.004
	land_attrition = -0.006
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.006
	army_tradition_decay = 0.0
	navy_tradition_decay = 0.0
	global_unrest = -0.09
	discipline = 0.002
	ship_durability = 0.002
	global_trade_power = 0.005
}
heroic_th_agressive_ai_buff_against_dev_190 = {
	global_tax_modifier = 0.019
	interest = -0.038
	war_exhaustion = -0.004
	land_attrition = -0.006
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.006
	army_tradition_decay = 0.0
	navy_tradition_decay = 0.0
	global_unrest = -0.095
	discipline = 0.002
	ship_durability = 0.002
	global_trade_power = 0.006
}
heroic_th_agressive_ai_buff_against_dev_200 = {
	global_tax_modifier = 0.02
	interest = -0.04
	war_exhaustion = -0.004
	land_attrition = -0.007
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.007
	army_tradition_decay = 0.0
	navy_tradition_decay = 0.0
	global_unrest = -0.1
	discipline = 0.002
	ship_durability = 0.002
	global_trade_power = 0.006
}
heroic_th_agressive_ai_buff_against_dev_210 = {
	global_tax_modifier = 0.021
	interest = -0.042
	war_exhaustion = -0.004
	land_attrition = -0.007
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.007
	army_tradition_decay = 0.0
	navy_tradition_decay = 0.0
	global_unrest = -0.105
	discipline = 0.002
	ship_durability = 0.002
	global_trade_power = 0.006
}
heroic_th_agressive_ai_buff_against_dev_220 = {
	global_tax_modifier = 0.022
	interest = -0.044
	war_exhaustion = -0.004
	land_attrition = -0.007
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.007
	army_tradition_decay = 0.0
	navy_tradition_decay = 0.0
	global_unrest = -0.11
	discipline = 0.002
	ship_durability = 0.002
	global_trade_power = 0.007
}
heroic_th_agressive_ai_buff_against_dev_230 = {
	global_tax_modifier = 0.023
	interest = -0.046
	war_exhaustion = -0.005
	land_attrition = -0.008
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.008
	army_tradition_decay = 0.0
	navy_tradition_decay = 0.0
	global_unrest = -0.115
	discipline = 0.002
	ship_durability = 0.002
	global_trade_power = 0.007
}
heroic_th_agressive_ai_buff_against_dev_240 = {
	global_tax_modifier = 0.024
	interest = -0.048
	war_exhaustion = -0.005
	land_attrition = -0.008
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.008
	army_tradition_decay = 0.0
	navy_tradition_decay = 0.0
	global_unrest = -0.12
	discipline = 0.002
	ship_durability = 0.002
	global_trade_power = 0.007
}
heroic_th_agressive_ai_buff_against_dev_250 = {
	global_tax_modifier = 0.025
	interest = -0.05
	war_exhaustion = -0.005
	land_attrition = -0.008
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.008
	army_tradition_decay = 0.0
	navy_tradition_decay = 0.0
	global_unrest = -0.125
	discipline = 0.003
	ship_durability = 0.003
	global_trade_power = 0.008
}
heroic_th_agressive_ai_buff_against_dev_260 = {
	global_tax_modifier = 0.026
	interest = -0.052
	war_exhaustion = -0.005
	land_attrition = -0.009
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.009
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.13
	discipline = 0.003
	ship_durability = 0.003
	global_trade_power = 0.008
}
heroic_th_agressive_ai_buff_against_dev_270 = {
	global_tax_modifier = 0.027
	interest = -0.054
	war_exhaustion = -0.005
	land_attrition = -0.009
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.009
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.135
	discipline = 0.003
	ship_durability = 0.003
	global_trade_power = 0.008
}
heroic_th_agressive_ai_buff_against_dev_280 = {
	global_tax_modifier = 0.028
	interest = -0.056
	war_exhaustion = -0.006
	land_attrition = -0.009
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.009
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.14
	discipline = 0.003
	ship_durability = 0.003
	global_trade_power = 0.008
}
heroic_th_agressive_ai_buff_against_dev_290 = {
	global_tax_modifier = 0.029
	interest = -0.058
	war_exhaustion = -0.006
	land_attrition = -0.01
	yearly_army_professionalism = 0.001
	drill_decay_modifier = -0.01
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.145
	discipline = 0.003
	ship_durability = 0.003
	global_trade_power = 0.009
}
heroic_th_agressive_ai_buff_against_dev_300 = {
	global_tax_modifier = 0.03
	interest = -0.06
	war_exhaustion = -0.006
	land_attrition = -0.01
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.01
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.15
	discipline = 0.003
	ship_durability = 0.003
	global_trade_power = 0.009
}
heroic_th_agressive_ai_buff_against_dev_310 = {
	global_tax_modifier = 0.031
	interest = -0.062
	war_exhaustion = -0.006
	land_attrition = -0.01
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.01
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.155
	discipline = 0.003
	ship_durability = 0.003
	global_trade_power = 0.009
}
heroic_th_agressive_ai_buff_against_dev_320 = {
	global_tax_modifier = 0.032
	interest = -0.064
	war_exhaustion = -0.006
	land_attrition = -0.011
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.011
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.16
	discipline = 0.003
	ship_durability = 0.003
	global_trade_power = 0.01
}
heroic_th_agressive_ai_buff_against_dev_330 = {
	global_tax_modifier = 0.033
	interest = -0.066
	war_exhaustion = -0.007
	land_attrition = -0.011
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.011
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.165
	discipline = 0.003
	ship_durability = 0.003
	global_trade_power = 0.01
}
heroic_th_agressive_ai_buff_against_dev_340 = {
	global_tax_modifier = 0.034
	interest = -0.068
	war_exhaustion = -0.007
	land_attrition = -0.011
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.011
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.17
	discipline = 0.003
	ship_durability = 0.003
	global_trade_power = 0.01
}
heroic_th_agressive_ai_buff_against_dev_350 = {
	global_tax_modifier = 0.035
	interest = -0.07
	war_exhaustion = -0.007
	land_attrition = -0.012
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.012
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.175
	discipline = 0.004
	ship_durability = 0.004
	global_trade_power = 0.011
}
heroic_th_agressive_ai_buff_against_dev_360 = {
	global_tax_modifier = 0.036
	interest = -0.072
	war_exhaustion = -0.007
	land_attrition = -0.012
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.012
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.18
	discipline = 0.004
	ship_durability = 0.004
	global_trade_power = 0.011
}
heroic_th_agressive_ai_buff_against_dev_370 = {
	global_tax_modifier = 0.037
	interest = -0.074
	war_exhaustion = -0.007
	land_attrition = -0.012
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.012
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.185
	discipline = 0.004
	ship_durability = 0.004
	global_trade_power = 0.011
}
heroic_th_agressive_ai_buff_against_dev_380 = {
	global_tax_modifier = 0.038
	interest = -0.076
	war_exhaustion = -0.008
	land_attrition = -0.013
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.013
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.19
	discipline = 0.004
	ship_durability = 0.004
	global_trade_power = 0.011
}
heroic_th_agressive_ai_buff_against_dev_390 = {
	global_tax_modifier = 0.039
	interest = -0.078
	war_exhaustion = -0.008
	land_attrition = -0.013
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.013
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.195
	discipline = 0.004
	ship_durability = 0.004
	global_trade_power = 0.012
}
heroic_th_agressive_ai_buff_against_dev_400 = {
	global_tax_modifier = 0.04
	interest = -0.08
	war_exhaustion = -0.008
	land_attrition = -0.013
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.013
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.2
	discipline = 0.004
	ship_durability = 0.004
	global_trade_power = 0.012
}
heroic_th_agressive_ai_buff_against_dev_410 = {
	global_tax_modifier = 0.041
	interest = -0.082
	war_exhaustion = -0.008
	land_attrition = -0.014
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.014
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.205
	discipline = 0.004
	ship_durability = 0.004
	global_trade_power = 0.012
}
heroic_th_agressive_ai_buff_against_dev_420 = {
	global_tax_modifier = 0.042
	interest = -0.084
	war_exhaustion = -0.008
	land_attrition = -0.014
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.014
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.21
	discipline = 0.004
	ship_durability = 0.004
	global_trade_power = 0.013
}
heroic_th_agressive_ai_buff_against_dev_430 = {
	global_tax_modifier = 0.043
	interest = -0.086
	war_exhaustion = -0.009
	land_attrition = -0.014
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.014
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.215
	discipline = 0.004
	ship_durability = 0.004
	global_trade_power = 0.013
}
heroic_th_agressive_ai_buff_against_dev_440 = {
	global_tax_modifier = 0.044
	interest = -0.088
	war_exhaustion = -0.009
	land_attrition = -0.015
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.015
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.22
	discipline = 0.004
	ship_durability = 0.004
	global_trade_power = 0.013
}
heroic_th_agressive_ai_buff_against_dev_450 = {
	global_tax_modifier = 0.045
	interest = -0.09
	war_exhaustion = -0.009
	land_attrition = -0.015
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.015
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.225
	discipline = 0.005
	ship_durability = 0.005
	global_trade_power = 0.014
}
heroic_th_agressive_ai_buff_against_dev_460 = {
	global_tax_modifier = 0.046
	interest = -0.092
	war_exhaustion = -0.009
	land_attrition = -0.015
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.015
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.23
	discipline = 0.005
	ship_durability = 0.005
	global_trade_power = 0.014
}
heroic_th_agressive_ai_buff_against_dev_470 = {
	global_tax_modifier = 0.047
	interest = -0.094
	war_exhaustion = -0.009
	land_attrition = -0.016
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.016
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.235
	discipline = 0.005
	ship_durability = 0.005
	global_trade_power = 0.014
}
heroic_th_agressive_ai_buff_against_dev_480 = {
	global_tax_modifier = 0.048
	interest = -0.096
	war_exhaustion = -0.01
	land_attrition = -0.016
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.016
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.24
	discipline = 0.005
	ship_durability = 0.005
	global_trade_power = 0.014
}
heroic_th_agressive_ai_buff_against_dev_490 = {
	global_tax_modifier = 0.049
	interest = -0.098
	war_exhaustion = -0.01
	land_attrition = -0.016
	yearly_army_professionalism = 0.002
	drill_decay_modifier = -0.016
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.245
	discipline = 0.005
	ship_durability = 0.005
	global_trade_power = 0.015
}
heroic_th_agressive_ai_buff_against_dev_500 = {
	global_tax_modifier = 0.05
	interest = -0.1
	war_exhaustion = -0.01
	land_attrition = -0.017
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.017
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.25
	discipline = 0.005
	ship_durability = 0.005
	global_trade_power = 0.015
}
heroic_th_agressive_ai_buff_against_dev_510 = {
	global_tax_modifier = 0.051
	interest = -0.102
	war_exhaustion = -0.01
	land_attrition = -0.017
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.017
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.255
	discipline = 0.005
	ship_durability = 0.005
	global_trade_power = 0.015
}
heroic_th_agressive_ai_buff_against_dev_520 = {
	global_tax_modifier = 0.052
	interest = -0.104
	war_exhaustion = -0.01
	land_attrition = -0.017
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.017
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.26
	discipline = 0.005
	ship_durability = 0.005
	global_trade_power = 0.016
}
heroic_th_agressive_ai_buff_against_dev_530 = {
	global_tax_modifier = 0.053
	interest = -0.106
	war_exhaustion = -0.011
	land_attrition = -0.018
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.018
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.265
	discipline = 0.005
	ship_durability = 0.005
	global_trade_power = 0.016
}
heroic_th_agressive_ai_buff_against_dev_540 = {
	global_tax_modifier = 0.054
	interest = -0.108
	war_exhaustion = -0.011
	land_attrition = -0.018
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.018
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.27
	discipline = 0.005
	ship_durability = 0.005
	global_trade_power = 0.016
}
heroic_th_agressive_ai_buff_against_dev_550 = {
	global_tax_modifier = 0.055
	interest = -0.11
	war_exhaustion = -0.011
	land_attrition = -0.018
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.018
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.275
	discipline = 0.006
	ship_durability = 0.006
	global_trade_power = 0.017
}
heroic_th_agressive_ai_buff_against_dev_560 = {
	global_tax_modifier = 0.056
	interest = -0.112
	war_exhaustion = -0.011
	land_attrition = -0.019
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.019
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.28
	discipline = 0.006
	ship_durability = 0.006
	global_trade_power = 0.017
}
heroic_th_agressive_ai_buff_against_dev_570 = {
	global_tax_modifier = 0.057
	interest = -0.114
	war_exhaustion = -0.011
	land_attrition = -0.019
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.019
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.285
	discipline = 0.006
	ship_durability = 0.006
	global_trade_power = 0.017
}
heroic_th_agressive_ai_buff_against_dev_580 = {
	global_tax_modifier = 0.058
	interest = -0.116
	war_exhaustion = -0.012
	land_attrition = -0.019
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.019
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.29
	discipline = 0.006
	ship_durability = 0.006
	global_trade_power = 0.017
}
heroic_th_agressive_ai_buff_against_dev_590 = {
	global_tax_modifier = 0.059
	interest = -0.118
	war_exhaustion = -0.012
	land_attrition = -0.02
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.02
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.295
	discipline = 0.006
	ship_durability = 0.006
	global_trade_power = 0.018
}
heroic_th_agressive_ai_buff_against_dev_600 = {
	global_tax_modifier = 0.06
	interest = -0.12
	war_exhaustion = -0.012
	land_attrition = -0.02
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.02
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.3
	discipline = 0.006
	ship_durability = 0.006
	global_trade_power = 0.018
}
heroic_th_agressive_ai_buff_against_dev_610 = {
	global_tax_modifier = 0.061
	interest = -0.122
	war_exhaustion = -0.012
	land_attrition = -0.02
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.02
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.305
	discipline = 0.006
	ship_durability = 0.006
	global_trade_power = 0.018
}
heroic_th_agressive_ai_buff_against_dev_620 = {
	global_tax_modifier = 0.062
	interest = -0.124
	war_exhaustion = -0.012
	land_attrition = -0.021
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.021
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.31
	discipline = 0.006
	ship_durability = 0.006
	global_trade_power = 0.019
}
heroic_th_agressive_ai_buff_against_dev_630 = {
	global_tax_modifier = 0.063
	interest = -0.126
	war_exhaustion = -0.013
	land_attrition = -0.021
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.021
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.315
	discipline = 0.006
	ship_durability = 0.006
	global_trade_power = 0.019
}
heroic_th_agressive_ai_buff_against_dev_640 = {
	global_tax_modifier = 0.064
	interest = -0.128
	war_exhaustion = -0.013
	land_attrition = -0.021
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.021
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.32
	discipline = 0.006
	ship_durability = 0.006
	global_trade_power = 0.019
}
heroic_th_agressive_ai_buff_against_dev_650 = {
	global_tax_modifier = 0.065
	interest = -0.13
	war_exhaustion = -0.013
	land_attrition = -0.022
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.022
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.325
	discipline = 0.007
	ship_durability = 0.007
	global_trade_power = 0.02
}
heroic_th_agressive_ai_buff_against_dev_660 = {
	global_tax_modifier = 0.066
	interest = -0.132
	war_exhaustion = -0.013
	land_attrition = -0.022
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.022
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.33
	discipline = 0.007
	ship_durability = 0.007
	global_trade_power = 0.02
}
heroic_th_agressive_ai_buff_against_dev_670 = {
	global_tax_modifier = 0.067
	interest = -0.134
	war_exhaustion = -0.013
	land_attrition = -0.022
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.022
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.335
	discipline = 0.007
	ship_durability = 0.007
	global_trade_power = 0.02
}
heroic_th_agressive_ai_buff_against_dev_680 = {
	global_tax_modifier = 0.068
	interest = -0.136
	war_exhaustion = -0.014
	land_attrition = -0.023
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.023
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.34
	discipline = 0.007
	ship_durability = 0.007
	global_trade_power = 0.02
}
heroic_th_agressive_ai_buff_against_dev_690 = {
	global_tax_modifier = 0.069
	interest = -0.138
	war_exhaustion = -0.014
	land_attrition = -0.023
	yearly_army_professionalism = 0.003
	drill_decay_modifier = -0.023
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.345
	discipline = 0.007
	ship_durability = 0.007
	global_trade_power = 0.021
}
heroic_th_agressive_ai_buff_against_dev_700 = {
	global_tax_modifier = 0.07
	interest = -0.14
	war_exhaustion = -0.014
	land_attrition = -0.023
	yearly_army_professionalism = 0.004
	drill_decay_modifier = -0.023
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.35
	discipline = 0.007
	ship_durability = 0.007
	global_trade_power = 0.021
}
heroic_th_agressive_ai_buff_against_dev_710 = {
	global_tax_modifier = 0.071
	interest = -0.142
	war_exhaustion = -0.014
	land_attrition = -0.024
	yearly_army_professionalism = 0.004
	drill_decay_modifier = -0.024
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.355
	discipline = 0.007
	ship_durability = 0.007
	global_trade_power = 0.021
}
heroic_th_agressive_ai_buff_against_dev_720 = {
	global_tax_modifier = 0.072
	interest = -0.144
	war_exhaustion = -0.014
	land_attrition = -0.024
	yearly_army_professionalism = 0.004
	drill_decay_modifier = -0.024
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.36
	discipline = 0.007
	ship_durability = 0.007
	global_trade_power = 0.022
}
heroic_th_agressive_ai_buff_against_dev_730 = {
	global_tax_modifier = 0.073
	interest = -0.146
	war_exhaustion = -0.015
	land_attrition = -0.024
	yearly_army_professionalism = 0.004
	drill_decay_modifier = -0.024
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.365
	discipline = 0.007
	ship_durability = 0.007
	global_trade_power = 0.022
}
heroic_th_agressive_ai_buff_against_dev_740 = {
	global_tax_modifier = 0.074
	interest = -0.148
	war_exhaustion = -0.015
	land_attrition = -0.025
	yearly_army_professionalism = 0.004
	drill_decay_modifier = -0.025
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.37
	discipline = 0.007
	ship_durability = 0.007
	global_trade_power = 0.022
}
heroic_th_agressive_ai_buff_against_dev_750 = {
	global_tax_modifier = 0.075
	interest = -0.15
	war_exhaustion = -0.015
	land_attrition = -0.025
	yearly_army_professionalism = 0.004
	drill_decay_modifier = -0.025
	army_tradition_decay = -0.001
	navy_tradition_decay = -0.001
	global_unrest = -0.375
	discipline = 0.008
	ship_durability = 0.008
	global_trade_power = 0.023
}
heroic_th_agressive_ai_buff_against_dev_760 = {
	global_tax_modifier = 0.076
	interest = -0.152
	war_exhaustion = -0.015
	land_attrition = -0.025
	yearly_army_professionalism = 0.004
	drill_decay_modifier = -0.025
	army_tradition_decay = -0.002
	navy_tradition_decay = -0.002
	global_unrest = -0.38
	discipline = 0.008
	ship_durability = 0.008
	global_trade_power = 0.023
}
heroic_th_agressive_ai_buff_against_dev_770 = {
	global_tax_modifier = 0.077
	interest = -0.154
	war_exhaustion = -0.015
	land_attrition = -0.026
	yearly_army_professionalism = 0.004
	drill_decay_modifier = -0.026
	army_tradition_decay = -0.002
	navy_tradition_decay = -0.002
	global_unrest = -0.385
	discipline = 0.008
	ship_durability = 0.008
	global_trade_power = 0.023
}
heroic_th_agressive_ai_buff_against_dev_780 = {
	global_tax_modifier = 0.078
	interest = -0.156
	war_exhaustion = -0.016
	land_attrition = -0.026
	yearly_army_professionalism = 0.004
	drill_decay_modifier = -0.026
	army_tradition_decay = -0.002
	navy_tradition_decay = -0.002
	global_unrest = -0.39
	discipline = 0.008
	ship_durability = 0.008
	global_trade_power = 0.023
}
heroic_th_agressive_ai_buff_against_dev_790 = {
	global_tax_modifier = 0.079
	interest = -0.158
	war_exhaustion = -0.016
	land_attrition = -0.026
	yearly_army_professionalism = 0.004
	drill_decay_modifier = -0.026
	army_tradition_decay = -0.002
	navy_tradition_decay = -0.002
	global_unrest = -0.395
	discipline = 0.008
	ship_durability = 0.008
	global_trade_power = 0.024
}
heroic_th_agressive_ai_buff_against_dev_800 = {
	global_tax_modifier = 0.08
	interest = -0.16
	war_exhaustion = -0.016
	land_attrition = -0.027
	yearly_army_professionalism = 0.004
	drill_decay_modifier = -0.027
	army_tradition_decay = -0.002
	navy_tradition_decay = -0.002
	global_unrest = -0.4
	discipline = 0.008
	ship_durability = 0.008
	global_trade_power = 0.024
}
heroic_th_agressive_ai_buff_against_dev_810 = {
	global_tax_modifier = 0.081
	interest = -0.162
	war_exhaustion = -0.016
	land_attrition = -0.027
	yearly_army_professionalism = 0.004
	drill_decay_modifier = -0.027
	army_tradition_decay = -0.002
	navy_tradition_decay = -0.002
	global_unrest = -0.405
	discipline = 0.008
	ship_durability = 0.008
	global_trade_power = 0.024
}
heroic_th_agressive_ai_buff_against_dev_820 = {
	global_tax_modifier = 0.082
	interest = -0.164
	war_exhaustion = -0.016
	land_attrition = -0.027
	yearly_army_professionalism = 0.004
	drill_decay_modifier = -0.027
	army_tradition_decay = -0.002
	navy_tradition_decay = -0.002
	global_unrest = -0.41
	discipline = 0.008
	ship_durability = 0.008
	global_trade_power = 0.025
}
